ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME
10006,"Kizhuyak, AK",10056,"Kodiak Island, AK"
10009,"Homer, AK",10170,"Kodiak, AK"
10009,"Homer, AK",13934,"Port Lions, AK"
10009,"Homer, AK",10170,"Kodiak, AK"
10011,"Peach Springs, AZ",10661,"Boulder City, NV"
10011,"Peach Springs, AZ",10661,"Boulder City, NV"
10033,"Alpine, AK",14709,"Deadhorse, AK"
10033,"Alpine, AK",10299,"Anchorage, AK"
10040,"Pogo Mines, AK",11630,"Fairbanks, AK"
10042,"Kiluda Bay, AK",10056,"Kodiak Island, AK"
10056,"Kodiak Island, AK",10278,"Lazy Bay, AK"
10056,"Kodiak Island, AK",10324,"Amook Bay, AK"
10056,"Kodiak Island, AK",12705,"Kitoi Bay, AK"
10056,"Kodiak Island, AK",12771,"Olga Bay, AK"
10056,"Kodiak Island, AK",12782,"Port Williams, AK"
10056,"Kodiak Island, AK",12785,"Port Bailey, AK"
10056,"Kodiak Island, AK",12854,"West Point, AK"
10056,"Kodiak Island, AK",10056,"Kodiak Island, AK"
10056,"Kodiak Island, AK",10006,"Kizhuyak, AK"
10056,"Kodiak Island, AK",10042,"Kiluda Bay, AK"
10056,"Kodiak Island, AK",10278,"Lazy Bay, AK"
10056,"Kodiak Island, AK",10324,"Amook Bay, AK"
10056,"Kodiak Island, AK",11299,"Danger Bay, AK"
10056,"Kodiak Island, AK",11513,"Eagle Harbor, AK"
10056,"Kodiak Island, AK",12705,"Kitoi Bay, AK"
10056,"Kodiak Island, AK",12771,"Olga Bay, AK"
10056,"Kodiak Island, AK",12869,"Zachar Bay, AK"
10056,"Kodiak Island, AK",13888,"Onion Bay, AK"
10056,"Kodiak Island, AK",15091,"Seal Bay, AK"
10135,"Allentown/Bethlehem/Easton, PA",11433,"Detroit, MI"
10135,"Allentown/Bethlehem/Easton, PA",10397,"Atlanta, GA"
10135,"Allentown/Bethlehem/Easton, PA",11433,"Detroit, MI"
10135,"Allentown/Bethlehem/Easton, PA",14761,"Sanford, FL"
10135,"Allentown/Bethlehem/Easton, PA",10693,"Nashville, TN"
10135,"Allentown/Bethlehem/Easton, PA",14112,"St. Petersburg, FL"
10135,"Allentown/Bethlehem/Easton, PA",11697,"Fort Lauderdale, FL"
10135,"Allentown/Bethlehem/Easton, PA",14027,"West Palm Beach/Palm Beach, FL"
10135,"Allentown/Bethlehem/Easton, PA",14082,"Punta Gorda, FL"
10135,"Allentown/Bethlehem/Easton, PA",10590,"Bullhead City, AZ"
10135,"Allentown/Bethlehem/Easton, PA",10158,"Atlantic City, NJ"
10135,"Allentown/Bethlehem/Easton, PA",14893,"Sacramento, CA"
10135,"Allentown/Bethlehem/Easton, PA",12324,"Wilmington, OH"
